item_id,category,item_name,attack,accuracy,defense,effect,rarity
W001,무기,은빛검,13,3,,,희귀
W002,무기,화염검,31,2,,,일반
W003,무기,서리창,28,3,,,희귀
W004,무기,폭풍창,29,2,,,고급
W005,무기,달빛활,12,3,,,영웅
W006,무기,사냥꾼활,24,3,,,고급
W007,무기,암흑단검,13,8,,,일반
W008,무기,용맹도끼,29,3,,,고급
W009,무기,천둥망치,31,2,,,영웅
W010,무기,유성지팡이,12,5,,,일반
W011,무기,철벽검,28,4,,,희귀
W012,무기,맹독창,24,4,,,일반
A001,방어구,강철갑옷,,,14,,고급
A002,방어구,은빛갑옷,,,25,,고급
A003,방어구,용비늘갑옷,,,11,,고급
A004,방어구,수호방패,,,19,,일반
A005,방어구,기사투구,,,25,,일반
A006,방어구,정찰망토,,,26,,일반
A007,방어구,마법로브,,,27,,고급
A008,방어구,가죽장갑,,,23,,영웅
A009,방어구,철제장화,,,18,,영웅
A010,방어구,수호반지,,,26,,영웅
A011,방어구,빙결갑옷,,,19,,희귀
A012,방어구,태양망토,,,15,,고급
C001,소모품,회복 물약,,,,체력을 즉시 50 회복,희귀
C002,소모품,고급 회복 물약,,,,체력을 즉시 100 회복,일반
C003,소모품,마나 물약,,,,마나를 즉시 40 회복,일반
C004,소모품,해독제,,,,중독 상태 해제,희귀
C005,소모품,부활 깃털,,,,전투 불능 상태에서 부활,고급
C006,소모품,힘의 두루마리,,,,10분간 공격력 증가,희귀
C007,소모품,수호의 두루마리,,,,10분간 방어력 증가,고급
C008,소모품,민첩의 비약,,,,10분간 명중률 증가,고급
C009,소모품,화염 폭탄,,,,적 전체에 화염 피해,희귀
C010,소모품,귀환 주문서,,,,마을로 즉시 귀환,희귀
C011,소모품,은신 물약,,,,30초간 은신 상태,고급
C012,소모품,정비 키트,,,,장비 내구도 회복,희귀
